UPH,mcType,material,pinPkgTyp,oper,wireType,wirePerDie,dieX,dieY,grindingThickness,pkgX,pkgY,pkgZ,leadCount,stripSize,wireCount,wireDia
505.0991114,ICONN,L/F,STDFN,2200,AG,0.169462795,176,187,125,8,6,0.75,8,216,20,0.8
497.7911878,ICONN,L/F,STDFN,2200,AG,0.169603697,176,187,125,8,6,0.75,8,216,20,0.8
507.4548564,ICONN,L/F,STDFN,2200,AG,0.171020058,176,187,125,8,6,0.75,8,216,20,0.8
510.1545095,ICONN,L/F,STDFN,2200,AG,0.171587336,176,187,125,8,6,0.75,8,216,20,0.8
502.6877768,ICONN,L/F,STDFN,2200,AG,0.172270085,176,187,125,8,6,0.75,8,216,20,0.8
500.9512914,ICONN,L/F,STDFN,2200,AG,0.225297641,176,187,125,8,6,0.75,8,216,20,0.8
507.5417127,ICONN,L/F,STDFN,2200,AG,0.258182668,176,187,125,8,6,0.75,8,216,20,0.8
1276.268149,ICONN,L/F,STDFN,2200,AU,0.043012975,208,194,107,8,6,0.75,8,216,10,0.7
1267.700522,ICONN,L/F,STDFN,2200,AU,0.043311514,208,194,107,8,6,0.75,8,216,10,0.7
1250.198486,ICONN,L/F,STDFN,2200,AU,0.056699641,208,194,107,8,6,0.75,8,216,10,0.7
1151.817664,ICONN,L/F,STDFN,2200,AU,0.078512876,208,194,107,8,6,0.75,8,216,10,0.7
1119.962011,ICONN,L/F,STDFN,3200,AU,0.046390773,208,194,107,8,6,0.75,8,216,10,0.7
1131.02071,ICONN,L/F,STDFN,3200,AU,0.049478704,208,194,107,8,6,0.75,8,216,10,0.7
1305.726791,ICONN,L/F,STDFN,3200,AU,0.053522118,208,194,107,8,6,0.75,8,216,10,0.7
1284.753741,ICONN,L/F,STDFN,3200,AU,0.053756865,208,194,107,8,6,0.75,8,216,10,0.7
1170.257006,ICONN,L/F,STDFN,3200,AU,0.054063154,208,194,107,8,6,0.75,8,216,10,0.7
1089.097694,ICONN,L/F,STDFN,3200,AU,0.056092379,208,194,107,8,6,0.75,8,216,10,0.7
1156.383383,ICONN,L/F,STDFN,3200,AU,0.057906542,208,194,107,8,6,0.75,8,216,10,0.7
1302.507511,ICONN,L/F,STDFN,3200,AU,0.069917747,208,194,107,8,6,0.75,8,216,10,0.7
1108.225085,ICONN,L/F,STDFN,3200,AU,0.077128496,208,194,107,8,6,0.75,8,216,10,0.7
377.9687982,ICONN,L/F,STLGA,2200,AU,0.17391149,107,76,435,3.3,3.3,0.98,16,1216,38,0.8
39.81976245,ICONN,L/F,uSD,2200,AU,0.606001933,119,28,150,11,15,1,8,80,206,0.6
511.6052551,ICONN,Substrate,FBGA,2200,AU,0.000969869,251,219,200,8,10.5,1.2,78,168,78,0.6
338.1735576,ICONN,Substrate,FBGA,2200,AU,0.084754352,251,219,200,8,10.5,1.2,78,168,78,0.6
335.9958631,ICONN,Substrate,FBGA,2200,AU,0.188106246,251,219,200,8,10.5,1.2,78,168,78,0.6
333.6492155,ICONN,Substrate,FBGA,2200,AU,0.188167318,251,219,200,8,10.5,1.2,78,168,78,0.6
338.4683109,ICONN,Substrate,FBGA,2200,AU,0.188401722,251,219,200,8,10.5,1.2,78,168,78,0.6
335.409264,ICONN,Substrate,FBGA,2200,AU,0.188473639,251,219,200,8,10.5,1.2,78,168,78,0.6
